id,code,country_id/id,name,state_id/id
res_country_municipality_250,250,base.ve,Andrés Bello,res_country_state_20
res_country_municipality_251,251,base.ve,Antonio Rómulo Costa,res_country_state_20
res_country_municipality_252,252,base.ve,Ayacucho,res_country_state_20
res_country_municipality_253,253,base.ve,Bolívar,res_country_state_20
res_country_municipality_254,254,base.ve,Cárdenas,res_country_state_20
res_country_municipality_255,255,base.ve,Córdoba,res_country_state_20
res_country_municipality_256,256,base.ve,Fernández Feo,res_country_state_20
res_country_municipality_257,257,base.ve,Francisco de Miranda,res_country_state_20
res_country_municipality_258,258,base.ve,García de Hevia,res_country_state_20
res_country_municipality_259,259,base.ve,Guásimos,res_country_state_20
res_country_municipality_260,260,base.ve,Independencia,res_country_state_20
res_country_municipality_261,261,base.ve,Jáuregui,res_country_state_20
res_country_municipality_262,262,base.ve,José María Vargas,res_country_state_20
res_country_municipality_263,263,base.ve,Junín,res_country_state_20
res_country_municipality_264,264,base.ve,Libertad,res_country_state_20
res_country_municipality_265,265,base.ve,Libertador,res_country_state_20
res_country_municipality_266,266,base.ve,Lobatera,res_country_state_20
res_country_municipality_267,267,base.ve,Michelena,res_country_state_20
res_country_municipality_268,268,base.ve,Panamericano,res_country_state_20
res_country_municipality_269,269,base.ve,Pedro María Ureña,res_country_state_20
res_country_municipality_270,270,base.ve,Rafael Urdaneta,res_country_state_20
res_country_municipality_271,271,base.ve,Samuel Darío Maldonado,res_country_state_20
res_country_municipality_272,272,base.ve,San Cristóbal,res_country_state_20
res_country_municipality_273,273,base.ve,Seboruco,res_country_state_20
res_country_municipality_274,274,base.ve,Simón Rodríguez,res_country_state_20
res_country_municipality_275,275,base.ve,Sucre,res_country_state_20
res_country_municipality_276,276,base.ve,Torbes,res_country_state_20
res_country_municipality_277,277,base.ve,Uribante,res_country_state_20
res_country_municipality_278,278,base.ve,Bocono,res_country_state_21
res_country_municipality_279,279,base.ve,Candelaria,res_country_state_21
res_country_municipality_280,280,base.ve,Carache,res_country_state_21
res_country_municipality_281,281,base.ve,Escuque,res_country_state_21
res_country_municipality_282,282,base.ve,Miranda,res_country_state_21
res_country_municipality_283,283,base.ve,Monte Carmelo,res_country_state_21
res_country_municipality_284,284,base.ve,Motatán,res_country_state_21
res_country_municipality_285,285,base.ve,Pam Pam,res_country_state_21
res_country_municipality_286,286,base.ve,Rafael Rangel,res_country_state_21
res_country_municipality_287,287,base.ve,San Rafael de Carvajal,res_country_state_21
res_country_municipality_288,288,base.ve,Sucre,res_country_state_21
res_country_municipality_289,289,base.ve,Trujillo,res_country_state_21
res_country_municipality_290,290,base.ve,Urdaneta,res_country_state_21
res_country_municipality_291,291,base.ve,Valera,res_country_state_21
res_country_municipality_292,292,base.ve,Andres Bello,res_country_state_21
res_country_municipality_293,293,base.ve,Bolivar,res_country_state_21
res_country_municipality_294,294,base.ve,Jose Felipe Marquez Cañizales,res_country_state_21
res_country_municipality_295,295,base.ve,Juan Vicente Campos Elías,res_country_state_21
res_country_municipality_296,296,base.ve,La Ceiba,res_country_state_21
res_country_municipality_297,297,base.ve,Pampanito,res_country_state_21
res_country_municipality_298,298,base.ve,Aristides Bastidas,res_country_state_23
res_country_municipality_299,299,base.ve,Bolivar,res_country_state_23
res_country_municipality_300,300,base.ve,Bruzal,res_country_state_23
res_country_municipality_301,301,base.ve,Cocorote,res_country_state_23
res_country_municipality_302,302,base.ve,Independencia,res_country_state_23
res_country_municipality_303,303,base.ve,Jose Antonio Paez,res_country_state_23
res_country_municipality_304,304,base.ve,La Trinidad,res_country_state_23
res_country_municipality_305,305,base.ve,Manuel Monge,res_country_state_23
res_country_municipality_306,306,base.ve,Nirgua,res_country_state_23
res_country_municipality_307,307,base.ve,Peña,res_country_state_23
res_country_municipality_308,308,base.ve,San Felipe,res_country_state_23
res_country_municipality_309,309,base.ve,Sucre,res_country_state_23
res_country_municipality_310,310,base.ve,Urachiche,res_country_state_23
res_country_municipality_311,311,base.ve,Veroes,res_country_state_23
res_country_municipality_312,312,base.ve,Almirante Padilla,res_country_state_24
res_country_municipality_313,313,base.ve,Baralt,res_country_state_24
res_country_municipality_314,314,base.ve,Cabimas,res_country_state_24
res_country_municipality_315,315,base.ve,Catatumbo,res_country_state_24
res_country_municipality_316,316,base.ve,Colón,res_country_state_24
res_country_municipality_317,317,base.ve,Jesus Enrique Lossada,res_country_state_24
res_country_municipality_318,318,base.ve,La Cañada de Urdaneta,res_country_state_24
res_country_municipality_319,319,base.ve,Lagunillas,res_country_state_24
res_country_municipality_320,320,base.ve,Machiques de Perijá,res_country_state_24
res_country_municipality_321,321,base.ve,Mara,res_country_state_24
res_country_municipality_322,322,base.ve,Maracaibo,res_country_state_24
res_country_municipality_323,323,base.ve,Miranda,res_country_state_24
res_country_municipality_324,324,base.ve,Paez,res_country_state_24
res_country_municipality_325,325,base.ve,Rosario de Perijá,res_country_state_24
res_country_municipality_326,326,base.ve,Santa Rita,res_country_state_24
res_country_municipality_327,327,base.ve,Sucre,res_country_state_24
res_country_municipality_328,328,base.ve,Valmore Rodríguez,res_country_state_24
res_country_municipality_329,329,base.ve,Francisco Javier Pulgar,res_country_state_24
res_country_municipality_330,330,base.ve,Jesus Maria Semprun,res_country_state_24
res_country_municipality_331,331,base.ve,San Francisco,res_country_state_24
res_country_municipality_332,332,base.ve,Simon Bolívar,res_country_state_24
res_country_municipality_333,333,base.ve,Vargas,res_country_state_22
res_country_municipality_334,334,base.ve,Sotillo,res_country_state_3
